tempo,loudness,brightness,mfcc,title,artist,videoId
148.02631578947367,0.2716136872768402,3365.0833211779172,4.689906120300293,FE!N (feat. Playboi Carti),Travis Scott,B9synWjqBn8
156.60511363636363,0.22122719883918762,3010.5657883725225,1.8610308170318604,SICKO MODE (Official Video),Travis Scott,6ONRf7h3Mdk
100.44642857142857,0.20267198979854584,1445.7132186004164,2.373361349105835,Mask Off (Official Music Video),Future,xvZqHgFz51I
148.02631578947367,0.23271644115447998,2724.873284503681,3.661513090133667,HUMBLE.,Kendrick Lamar,tvTRZJ-4EyI
144.23076923076923,0.15922711789608002,2424.173439866626,1.5171452760696411,Panda,Desiigner,E5ONTXHS2mM
140.625,0.22563284635543823,4206.302846340439,2.758662700653076,POP SMOKE - DIOR (OFFICIAL VIDEO),Pop Smoke,oorVWW9ywG0
90.7258064516129,0.2301180064678192,3577.249089259052,5.668537139892578,Hanumankind – Big Dawgs | Prod. Kalmi (Official Music Video) | Def Jam India,Hanumankind,hOHKltAiKXQ
175.78125,0.3581705689430237,1661.7411798893856,6.910865783691406,Shake Dat Ass (Twerk Song),BossMan Dlow,x24qP3sjrvw
152.02702702702703,0.231291264295578,2516.82967810252,3.425029993057251,Surround Sound [Official Music ... (feat. 21 Savage & Baby Tate),JID,Y19q-7VN2WI
130.8139534883721,0.2365049570798874,2832.4825727823386,-0.18354597687721252,fukumean,Gunna,V6ZsXKE8QmQ
122.28260869565217,0.10965894162654877,2743.038749486827,-1.6015862226486206,In Da Club,50 Cent,5qm8PH4xAss
100.44642857142857,0.16969354450702667,3133.1507760363147,-1.116495132446289,Paint The Town Red,Doja Cat,m4_9TFeMfJE
92.21311475409836,0.19845396280288696,3246.0795140022983,1.1626280546188354,Sprinter,Central Cee & Dave,pSY3i5XHHXo
117.1875,0.18314702808856964,2340.268069910261,0.010928674601018429,The Box,Roddy Ricch,UNZqm3dxd2w
100.44642857142857,0.32248246669769287,2586.8861847443327,5.054205417633057,Not Like Us,Kendrick Lamar,T6eK-2OQtew
93.75,0.1952299177646637,2774.9874785716133,2.4846584796905518,Still D.R.E.,Dr. Dre,_CL6n0FJZpk
100.44642857142857,0.14409655332565308,2437.9831227548184,2.3033533096313477,What You Saying,Lil Uzi Vert,s_TUESTU7_4
104.16666666666667,0.30657586455345154,3552.614678936276,5.369234561920166,Lovin On Me,Jack Harlow,Iq8h3GEe22o
133.92857142857142,0.28129488229751587,2860.19870881085,3.9074149131774902,Wanna Be (feat. Megan Thee Stallion),GloRilla,BT_83vSP1es
119.68085106382979,0.09242281317710876,2187.737143096477,0.7264675498008728,Freestyle,Lil Baby,MHryuYVyHhk
114.79591836734694,0.16133399307727814,2245.8264003903723,2.287041425704956,redrum,21 Savage,U4mADkt6o-M
100.44642857142857,0.22602874040603638,3180.7559485362654,0.01120698545128107,tv off (feat. Lefty GunPlay),Kendrick Lamar,U8F5G5wR1mk
165.44117647058823,0.28910738229751587,3529.1197781970645,4.94547176361084,WHATCHU KNO ABOUT ME,GloRilla,Py9S2bD0RZQ
166.70866935483872,0.26113879680633545,2461.9692278818916,1.1900434494018555,Up,Cardi B,rCiBgLOcuKU
137.1951219512195,0.2544877529144287,2819.372952861817,3.08577561378479,MILLION DOLLAR BABY,Tommy Richman,Zf1d8SGuxfs
95.33898305084746,0.2444746196269989,3112.5118396356584,5.650140285491943,Animals,Maroon 5,5DF9aRuiOZo
125.0,0.2334553748369217,3008.311192486192,3.944042205810547,Believer,Imagine Dragons,Kx7B-XvmFtE
165.44117647058823,0.19748727977275848,3998.2051767382586,3.9404563903808594,Satisfya,Imran Khan,OfGtIdG09HA
172.265625,0.20059774816036224,2360.836200522642,-1.377685546875,SATISFY,Sidhu Moose Wala,2JnFDa-bv0Q
170.45454545454547,0.2145506590604782,3434.86993433024,3.4392740726470947,Hall of Fame (feat. will.i.am),The Script,snx5qGUtVi8
112.5,0.24310480058193207,2817.435267740175,2.9768710136413574,Remember the Name (feat. Styles of Beyond),Fort Minor,MJD39Aja1Is
99.38401442307692,0.2618909776210785,3072.590873250201,6.409536838531494,Best of Me,NEFFEX,cWT8eXUJKMk
140.625,0.21033452451229095,4029.662752636076,1.5435295104980469,NEFFEX - Fight Back [Official Video] No.37,NEFFEX,CYDP_8UTAus
125.0,0.18689177930355072,3781.2864705268175,2.7566869258880615,Firework,Katy Perry,M51-spaR4qk
114.79591836734694,0.23833663761615753,3285.821380177347,3.734941244125366,Not Afraid,Eminem,-grPV-Fae6I
112.5,0.2384246289730072,2908.744555728088,3.5268571376800537,On My Way,Sabrina Carpenter,ZM8rAsTT7yE
165.44117647058823,0.2413540482521057,2835.869159408172,1.6245206594467163,Face Off,Dwayne Johnson,E9T78bT26sk
135.99917763157896,0.39434340596199036,3418.4151624757687,9.968666076660156,SLAVA FUNK!,MVSTERIOUS,YPmxBTPyWBI
108.17307692307692,0.40659838914871216,2934.398390725792,5.827613830566406,NO BATIDÃO (Slowed),ZXKAI,zeKCzmAKKP4
86.53846153846153,0.31608790159225464,3497.1989825088517,3.1783711910247803,MONTAGEM MASETALA PINKU - ZIRECT,"Mar 12, 2026",gU0hOLLXisQ
129.19921875,0.28554439544677734,2964.5283039543933,0.8950621485710144,XONADA FUNK,DJ Javi26,MNlID6psHpI
87.890625,0.2475719451904297,3841.35271060295,3.4350264072418213,Montagem Supersonic,KHAOS,lM4v4sq8ypo
114.79591836734694,0.1768132597208023,2386.881151155448,2.6996047496795654,PASSO BEM SOLTO (Slowed),ATLXS,NT4eF9YsYnM
130.8139534883721,0.2629375159740448,4384.716422894937,5.174940586090088,HEAVENLY JUMPSTYLE,TWXNY,pSkW_rR65-g
130.8139534883721,0.33784735202789307,2573.6444197275855,6.228419780731201,"1 HOUR BRAZILIAN PHONK / FUNK MIX 2024 ※ AGGRESSIVE PHONK ※ MUSIC PLAYLIST [GYM, AGGRESSIVE, FUNK]",Phonk Time,Sh1zT2YDPOk
130.8139534883721,0.28237810730934143,2228.0441518743564,4.190843105316162,MENTE MÁ,Mc Staff,6XagZrLsuog
130.8139534883721,0.39390748739242554,2464.3785780945936,7.466102600097656,maldito movimiento,DJ ORBITAL,75XyFG8KpJU
114.79591836734694,0.3397768437862396,3199.9248057550817,5.218315124511719,MALA FAMA,TEENWXVE,w_V9upAYDFE
92.21311475409836,0.2770240604877472,2921.9546012428386,7.246084690093994,MATUSHKA ULTRAFUNK (Slowed),satirin,nFyZLuMYwEA
130.8139534883721,0.3696731925010681,3495.9346728254236,2.8724594116210938,MATADORA,DJ Asul,YIYBhDeQfT0
